city,area,name,address,rating,total_ratings,maps_link,category
Jamtara,Holding No.1006,MedPlus Station Road Barakar,"Holding No.1006, Ward No.68, Station Rd, Barakar, Asansol, West Bengal 713324, India",4,4,https://www.google.com/maps/place/?q=place_id:ChIJSyksGMTd9jkR75VV8VHK9d0,pharmacy
Jamtara,Mouza Panchgachia,MedPlus Panchgachia Asansol,"Mouza Panchgachia, Khatian No. - 1503, J.L. No. 34, Dag No. 652, P.O, Kanyapur Police Station, North, Asansol, District West, West Bengal 713341, India",4.7,3,https://www.google.com/maps/place/?q=place_id:ChIJiVZ7ODwf9zkRtA_bk9LhiJo,pharmacy
Jamtara,City Complex,Medicine Plus,"City Complex, Jalsar Rd, Williams Town, Deoghar, Jharkhand 814112, India",3.5,4,https://www.google.com/maps/place/?q=place_id:ChIJc8-pnw8X8TkRKufXV7dnjQM,pharmacy
Jamtara,Upper Baniasol,MedPlus Adraa,"Upper Baniasol, Adra, West Bengal 723121, India",3,1,https://www.google.com/maps/place/?q=place_id:ChIJPQ2HLzbx9jkRwID810To-8c,pharmacy
Jamtara,J46F+QC5,MedPlus Nabinagar Raniganj,"J46F+QC5, Holding No.E/67, Ward No.89, 9, Nabinagar, P.O & P.S, Raniganj, West Bengal 713347, India",4.6,10,https://www.google.com/maps/place/?q=place_id:ChIJV8RqOVkR9zkRSjSJy-3lTUA,pharmacy
Jamtara,Holding No.99,MedPlus Jamuria Bazar Asansol,"Holding No.99,Ward No. Old 7, New 4,Bazar Road P.O, Jamuria Hat, P.S, Jamuria, Distict-West, Asansol, West Bengal 713336, India",4,4,https://www.google.com/maps/place/?q=place_id:ChIJ2drDPcoX9zkRQD33b8enZdY,pharmacy
Jamtara,P.S. Margam,MedPlus Bishnupur Bazar,"P.S. Margam, Khatian No.3602, J.L. No.200, Dag No.1626, P.O, Mouza, Bishnupur, Rampurhat, West Bengal 731244, India",4.7,11,https://www.google.com/maps/place/?q=place_id:ChIJtXtFkuwh-jkRHQ0ffxYe_q0,pharmacy
Jamtara,Holding No. 93,MedPlus Rampur Bankura,"Holding No. 93, Ward No.10, 17/1, No.6, Arabinda Nagar South, Rampur, Bankura, West Bengal 722101, India",4.3,27,https://www.google.com/maps/place/?q=place_id:ChIJ421nnxKl9zkR8VDRy_0nJVY,pharmacy
Jamtara,Ward No. 1,MedPlus R N Road Asansol,"Ward No. 1, Holding No. 2833, R.N. Road, Rabindra Nagar, Asansol, West Bengal 713304, India",3.8,15,https://www.google.com/maps/place/?q=place_id:ChIJeWMWgdMf9zkRaIseYD0DA9Q,pharmacy
Jamtara,New Holding,MEDPLUS ASANSOL SB GARAI ROAD,"New Holding, No.394, Ward, 9, SB Gorai Rd, Ismile, Asansol, West Bengal 713301, India",3.2,36,https://www.google.com/maps/place/?q=place_id:ChIJJ3WU0gkf9zkRBfxgAN2_ZyU,pharmacy
Jamtara,Holding No. 983 M Colony B/1,MedPlus Ushagram Asansol,"Holding No. 983 M Colony B/1, Ward No.20, Purnima apartment, Mohishila Colony, Ushagram, Asansol, West Bengal 713303, India",3.6,27,https://www.google.com/maps/place/?q=place_id:ChIJd2oWcvoZ9zkRhvy1gSPvORY,pharmacy
Jamtara,J.L.No.43,MEDPLUS ANDAL BAZAR,"J.L.No.43, Khatian No.5021, Dag No.1654, Mouza Dignala P.O. & P.S. Andal, Dist: West, Durgapur, Andal, West Bengal 713321, India",4,14,https://www.google.com/maps/place/?q=place_id:ChIJgRoQXywT9zkRsIisbBD47CM,pharmacy
Jamtara,Ward no.19,MedPlus Mohishila Colony,"Ward no.19, Holding No. 251/New M. Colony B/2, South Dhadka, Dhadka, Asansol, West Bengal 713303, India",3.4,5,https://www.google.com/maps/place/?q=place_id:ChIJN5p_MRkf9zkRo5vrQqQF6GE,pharmacy
Jamtara,XR64+2WV,Sanjeevni Medicare,"XR64+2WV, Patharchapra, Jamtara, Jharkhand 815351, India",4.7,6,https://www.google.com/maps/place/?q=place_id:ChIJe0M2j9vQ9jkRM0PiVVg6hU8,pharmacy
Jamtara,7th Floor,Wellness Forever Medicare Ltd - Head Office,"7th Floor, Empire Plaza 1, A1, Lal Bahadur Shastri Marg, Chandan Nagar, Vikhroli West, Mumbai, Maharashtra 400083, India",4,253,https://www.google.com/maps/place/?q=place_id:ChIJgbulgt7O5zsRYQK05oC0hA8,pharmacy
