city,area,name,address,rating,total_ratings,maps_link,category
Hunterganj,H B Road,Lenskart.com at H B Road Ranchi (First Lens Replacement Free),"H B Road, Plot No 1836, Ward 17, P S Lowe, Bazer, Hazaribagh Rd, opposite of Seventh Heaven Hotel, Tharpakhna, Ranchi, Jharkhand 834001, India",4.9,310,https://www.google.com/maps/place/?q=place_id:ChIJe9LTyY_h9DkRdsyE4MdyjCc,optical
Hunterganj,Hotel Royal Padmawati,"Lenskart.com at Chinia More, Garhwa","Hotel Royal Padmawati, Plot No 39, Chiniya Rd, Chinia More, Post+PS, Bishunpur, Garhwa, Jharkhand 822114, India",5,306,https://www.google.com/maps/place/?q=place_id:ChIJpSv6l90PjDkRQRlbHdQqN2U,optical
Hunterganj,Indira Gandhi Chowk,"Lenskart.com at Bahu Bazaar, Ranchi","Indira Gandhi Chowk, near Magic Move Dance Studio, Bahu Bazar, Upper Chutia, Samlong, Ranchi, Jharkhand 834001, India",4.9,65,https://www.google.com/maps/place/?q=place_id:ChIJ4zrn-fjh9DkRghWDZ8hVF6M,optical
Hunterganj,Unit No 3,Lenskart.com at Mall Of Ranchi (First Lens Replacement Free),"Unit No 3, Mall Of, Ratu Rd, Kumhartoli, Ranchi, Jharkhand 834001, India",4.9,1561,https://www.google.com/maps/place/?q=place_id:ChIJhZRdtuvf9DkRpvmFX-Xq95M,optical
Hunterganj,Dangratoli Chowk,"Lenskart.com at Puruliya Road, Ranchi (First Lens Replacement Free)","Dangratoli Chowk, Purulia Rd, near Kashyap Eye Hospital, Dangratoli, Nayatoli, Ranchi, Jharkhand 834001, India",4.9,2944,https://www.google.com/maps/place/?q=place_id:ChIJHyFYT7bh9DkRCjfHJadqWD4,optical
Hunterganj,Ground Floor,"Lenskart.com at Kathal More, Ranchi","Ground Floor, OAK Pioneer, Kathal More - Argora - Ranchi Rd, Deepatoli, Pundag, Ranchi, Jharkhand 834004, India",4.8,67,https://www.google.com/maps/place/?q=place_id:ChIJXZ0f7fTh9DkRKtr4y06leXc,optical
Hunterganj,Shop No 14,"Lenskart.com at Bariatu, Ranchi (First Lens Replacement Free)","Shop No 14, Malabar Enclave, near D A V School, Bariatu, Ranchi, Jharkhand 834009, India",4.8,1468,https://www.google.com/maps/place/?q=place_id:ChIJyQ0Yvr7j9DkRqsjiY2MHXes,optical
Hunterganj,Ground Floor,Lenskart Store,"Ground Floor, Savitri Complex, Railway Station Road, Shyam Ganj Rd, near ICICI Bank, Williams Town, Deoghar, Jharkhand 814112, India",4.9,1519,https://www.google.com/maps/place/?q=place_id:ChIJ6WEqpj8X8TkR_M4axx7naTY,optical
Hunterganj,Plot 289,"Lenskart.com at Kadru Road, Ranchi (First Lens Replacement Free)","Plot 289, Kadru Main Road, Delatoli, PS, Kadru, Argora, Ranchi, Jharkhand 834002, India",4.8,219,https://www.google.com/maps/place/?q=place_id:ChIJQR4RJwDh9DkRfRbEr-1QRlo,optical
Hunterganj,Plot No 172,Lenskart.com at Ramghar,"Plot No 172, Gram Thana Chawk, near Gandhi Chawk, Area, Ramgarh Cantonment, Jharkhand 829122, India",4.9,1506,https://www.google.com/maps/place/?q=place_id:ChIJcXPC_JH19DkRt7FC8m0m1CM,optical
