city,area,name,address,rating,total_ratings,maps_link,category
Ramgarh,Ramgarh,International Delhi Public School Ramgarh,"Ramgarh, 181141",,,https://www.google.com/maps/place/?q=place_id:ChIJSfp2op6hHjkRz3FNYpWDWVM,schools
Ramgarh,Visthapit Nagar Hesla,DPS Junior International School,"Visthapit Nagar Hesla, J78J+8FX, 2, Patratu, Jharkhand 829119, India",,,https://www.google.com/maps/place/?q=place_id:ChIJxSsX10rr9DkRO_yReIDGw2k,schools
Ramgarh,88M2+54H,Delhi Public School,"88M2+54H, Bypass Rd, Near Vivekanand Auditorium, SAIL Twp, Dhurwa, Ranchi, Jharkhand 834004, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ4x9vLKDg9DkRhq3Z0iE73as,schools
Ramgarh,Shankarpur,Delhi Public School Hazaribag,"Shankarpur, Ward No 34, Barkagaon Road, Jaiprabha Nagar, Hazaribagh, Sirsi no. I, Jharkhand 825302, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ84JGZD2b9DkRu-iBcsxhyn0,schools
Ramgarh,JFJW+MJH,PM Shri Kendriya Vidyalaya Ramgarh Cantt,"JFJW+MJH, Military Camp Rd, Ramgarh Cantonment, Jharkhand 829131, India",4.1,80,https://www.google.com/maps/place/?q=place_id:ChIJT8tC5ZLz9DkR3A5rvCcVhf8,schools
Daltonganj,23RR+R79,Mk dav public school,"23RR+R79, Baralota, Medininagar, Jharkhand 822102, India",,,https://www.google.com/maps/place/?q=place_id:ChIJd2X7nZF3jDkRsGH4MuS2sbg,schools
Daltonganj,2494+3MV,M K DAV Public School,"2494+3MV, NH 75, Chianki, Jharkhand 822102, India",,,https://www.google.com/maps/place/?q=place_id:ChIJvcHroOSHizkRWVHbg-L2tio,schools
Daltonganj,Old Redma chowk,"Delhi Public School, City office, Daltonganj","Old Redma chowk, Ranchi road, South Redma, Medininagar, Jharkhand 822101, India",,,https://www.google.com/maps/place/?q=place_id:ChIJE0Dudvh3jDkRRjVcWDh0Gks,schools
Daltonganj,2372+GHV,Kendriya Vidyalaya (Chainpur) Palamu,"2372+GHV, Chainpur, Jharkhand 822110, India",,,https://www.google.com/maps/place/?q=place_id:ChIJf6ggOQuJizkRnloCxTurjXE,schools
Chaibasa,TATA ROAD,Sj dav public school,"TATA ROAD, KHAPPARSAI, Chaibasa, Sikursai, Jharkhand 833204, India",,,https://www.google.com/maps/place/?q=place_id:ChIJl5Qlu5AnHjoRkNlOzKx4Nsw,schools
Chaibasa,GRV5+7X9,Dav,"GRV5+7X9, Chaibasa Rd, Tungri, Chaibasa, Jharkhand 833201, India",3.8,56,https://www.google.com/maps/place/?q=place_id:ChIJSTD6IXUnHjoRg4KQNr7VSpA,schools
Chaibasa,National Highway75,dps inter college,"National Highway75, Jharkhand 833201, India",,,https://www.google.com/maps/place/?q=place_id:ChIJZWRKjwcnHjoRdJHa6spd2iE,schools
